date,total,day,cases
3/1/2014,0,0,0
3/2/2014,0,1,0
3/3/2014,0,2,0
3/4/2014,0,3,0
3/5/2014,0,4,0
3/6/2014,0,5,0
3/7/2014,0,6,0
3/8/2014,0,7,0
3/9/2014,0,8,0
3/10/2014,0,9,0
3/11/2014,0,10,0
3/12/2014,0,11,0
3/13/2014,0,12,0
3/14/2014,0,13,0
3/15/2014,0,14,0
3/16/2014,0,15,0
3/17/2014,0,16,0
3/18/2014,0,17,0
3/19/2014,0,18,0
3/20/2014,0,19,0
3/21/2014,0,20,0
3/22/2014,0,21,0
3/23/2014,0,22,0
3/24/2014,0,23,0
3/25/2014,0,24,0
3/26/2014,0,25,0
3/27/2014,8,26,8
3/31/2014,8,30,0
4/1/2014,8,31,0
4/2/2014,8,32,0
4/7/2014,18,37,10
4/10/2014,22,40,4
4/17/2014,27,47,5
4/21/2014,27,51,0
4/23/2014,34,53,7
4/30/2014,13,60,-21
5/5/2014,13,65,0
5/14/2014,12,74,-1
5/23/2014,12,83,0
5/27/2014,12,87,0
5/28/2014,12,88,0
6/2/2014,13,93,1
6/5/2014,13,96,0
6/10/2014,15,101,2
6/11/2014,15,102,0
6/18/2014,33,109,18
6/24/2014,51,115,18
7/2/2014,107,123,56
7/7/2014,115,128,8
7/8/2014,131,129,16
7/14/2014,142,135,11
7/16/2014,172,137,30
7/21/2014,196,142,24
7/24/2014,224,145,28
7/28/2014,249,149,25
7/31/2014,329,152,80
8/3/2014,391,155,62
8/4/2014,486,156,95
8/8/2014,554,160,68
8/12/2014,599,164,45
8/13/2014,670,165,71
8/15/2014,786,167,116
8/19/2014,834,171,48
8/21/2014,972,173,138
8/22/2014,1082,174,110
8/28/2014,1378,180,296
9/6/2014,1871,189,493
9/8/2014,2046,191,175
9/12/2014,2081,195,35
9/16/2014,2407,199,326
9/18/2014,2710,201,303
9/22/2014,3022,205,312
9/24/2014,3280,207,258
9/26/2014,3458,209,178
10/1/2014,3696,214,238
10/3/2014,3834,216,138
10/8/2014,3924,221,90
10/10/2014,4076,223,152
10/15/2014,4249,228,173
10/17/2014,4262,230,13
10/22/2014,4665,235,403
10/25/2014,4665,238,0
10/29/2014,6535,242,1870
10/31/2014,6535,244,0
11/5/2014,6525,249,-10
11/7/2014,6619,251,94
11/12/2014,6822,256,203
11/14/2014,6878,258,56
11/19/2014,7069,263,191
11/21/2014,7082,265,13
11/26/2014,7168,270,86
11/28/2014,7635,272,467
12/3/2014,7635,277,0
12/10/2014,7719,284,84
12/17/2014,7797,291,78
12/24/2014,7862,298,65
12/31/2014,8018,305,156
1/7/2015,8157,312,139
1/14/2015,8331,319,174
1/21/2015,8478,326,147
1/28/2015,8622,333,144
2/4/2015,8745,340,123
2/11/2015,8881,347,136
2/18/2015,9007,354,126
2/25/2015,9238,361,231
3/4/2015,9249,368,11
3/11/2015,9343,375,94
3/18/2015,9526,382,183
3/25/2015,9602,389,76
4/1/2015,9712,396,110
4/8/2015,9862,403,150
4/15/2015,10042,410,180
4/22/2015,10212,417,170
4/29/2015,10322,424,110
5/6/2015,10564,431,242
5/13/2015,10604,438,40
5/20/2015,10666,445,62
5/27/2015,10666,452,0
6/3/2015,10666,459,0
